INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 101	Loss: 2.175704002380371	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 102	Loss: 1.9336512088775635	Top1 accuracy: 62.5
DEBUG:root:Epoch: 103	Loss: 1.9048305749893188	Top1 accuracy: 68.1640625
DEBUG:root:Epoch: 104	Loss: 2.0403287410736084	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 105	Loss: 1.8863190412521362	Top1 accuracy: 60.7421875
DEBUG:root:Epoch: 106	Loss: 1.9905999898910522	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 107	Loss: 2.0151686668395996	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 108	Loss: 2.15271258354187	Top1 accuracy: 59.1796875
DEBUG:root:Epoch: 109	Loss: 1.8090674877166748	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 110	Loss: 1.9213533401489258	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 111	Loss: 1.883400559425354	Top1 accuracy: 58.7890625
DEBUG:root:Epoch: 112	Loss: 1.842813491821289	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 113	Loss: 2.183051109313965	Top1 accuracy: 60.7421875
DEBUG:root:Epoch: 114	Loss: 2.1359169483184814	Top1 accuracy: 62.3046875
DEBUG:root:Epoch: 115	Loss: 1.8026175498962402	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 116	Loss: 1.883891224861145	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 117	Loss: 1.8979291915893555	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 118	Loss: 2.37182354927063	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 119	Loss: 1.8756792545318604	Top1 accuracy: 68.75
DEBUG:root:Epoch: 120	Loss: 1.7354274988174438	Top1 accuracy: 68.75
DEBUG:root:Epoch: 121	Loss: 1.998276710510254	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 122	Loss: 1.8198319673538208	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 123	Loss: 1.8530597686767578	Top1 accuracy: 70.3125
DEBUG:root:Epoch: 124	Loss: 2.0129551887512207	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 125	Loss: 2.092419147491455	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 126	Loss: 1.8630869388580322	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 127	Loss: 1.9143269062042236	Top1 accuracy: 65.0390625
DEBUG:root:Epoch: 128	Loss: 1.7307368516921997	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 129	Loss: 1.7903727293014526	Top1 accuracy: 68.9453125
DEBUG:root:Epoch: 130	Loss: 2.063281774520874	Top1 accuracy: 63.8671875
DEBUG:root:Epoch: 131	Loss: 1.6046395301818848	Top1 accuracy: 64.6484375
DEBUG:root:Epoch: 132	Loss: 1.7512986660003662	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 133	Loss: 1.7877404689788818	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 134	Loss: 1.7689968347549438	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 135	Loss: 1.7105262279510498	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 136	Loss: 1.5560513734817505	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 137	Loss: 2.153696060180664	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 138	Loss: 1.9728397130966187	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 139	Loss: 1.76746666431427	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 140	Loss: 2.0169548988342285	Top1 accuracy: 66.6015625
DEBUG:root:Epoch: 141	Loss: 1.7981280088424683	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 142	Loss: 2.083861827850342	Top1 accuracy: 61.5234375
DEBUG:root:Epoch: 143	Loss: 1.8586686849594116	Top1 accuracy: 61.9140625
DEBUG:root:Epoch: 144	Loss: 1.7720247507095337	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 145	Loss: 1.904959797859192	Top1 accuracy: 64.0625
